pair,variant,tf,entry_date,exit_date,side,entry_price,sl,exit_reason,pnl,r_multiple
ETH,V4-MTF,1h,2026-05-15 07:00:00+00:00,2026-05-15 13:00:00+00:00,long,2265.11,2240.7932,sl,-24.3168,-1.0
LTC,V4-MTF,1h,2026-05-15 15:00:00+00:00,2026-05-16 06:00:00+00:00,long,56.93,56.4402,sl,-0.098,-0.2
BTC,ST-V2,5m,2026-05-15 18:15:00+00:00,2026-05-16 07:10:00+00:00,short,79186.6,79592.6354,tp2,649.6566,1.6
BTC,ST-V2,5m,2026-05-16 17:00:00+00:00,2026-05-17 00:55:00+00:00,long,78219.9,77860.7204,sl,-359.1796,-1.0
BTC,ST-V2,5m,2026-05-17 05:35:00+00:00,2026-05-17 22:50:00+00:00,long,78167.0,77789.04,sl,-377.96,-1.0
ETH,ST-V2,5m,2026-05-15 14:25:00+00:00,2026-05-17 23:40:00+00:00,short,2212.67,2245.6281,tp2,52.7329,1.6
ETH,ST-V2,5m,2026-05-18 05:40:00+00:00,2026-05-18 11:35:00+00:00,short,2118.55,2128.3376,sl,-9.7876,-1.0
SOL,ST-V2,5m,2026-05-15 18:20:00+00:00,2026-05-16 04:25:00+00:00,long,89.78,88.7825,sl,-0.9975,-1.0
SOL,ST-V2,5m,2026-05-16 14:00:00+00:00,2026-05-16 14:45:00+00:00,short,86.07,86.4706,sl,-0.4006,-1.0
SOL,ST-V2,5m,2026-05-16 20:05:00+00:00,2026-05-16 21:40:00+00:00,long,86.76,86.4563,sl,-0.3037,-1.0
SOL,ST-V2,5m,2026-05-16 22:35:00+00:00,2026-05-17 01:25:00+00:00,short,86.57,86.9729,tp2,0.6446,1.6
SOL,ST-V2,5m,2026-05-17 05:05:00+00:00,2026-05-17 23:05:00+00:00,long,87.12,85.8818,sl,-1.2382,-1.0
XRP,ST-V2,5m,2026-05-16 14:50:00+00:00,2026-05-16 16:00:00+00:00,short,1.4061,1.4158,sl,-0.0097,-1.0
XRP,ST-V2,5m,2026-05-16 18:50:00+00:00,2026-05-17 00:55:00+00:00,long,1.4151,1.4108,sl,-0.0043,-1.0
XRP,ST-V2,5m,2026-05-17 05:45:00+00:00,2026-05-17 15:15:00+00:00,long,1.4169,1.4093,sl,0.0008,0.1
XRP,ST-V2,5m,2026-05-17 16:55:00+00:00,2026-05-17 19:40:00+00:00,short,1.4107,1.4173,sl,-0.0066,-1.0
XRP,ST-V2,5m,2026-05-17 20:45:00+00:00,2026-05-17 22:20:00+00:00,long,1.4188,1.4099,sl,-0.0089,-1.0
ADA,ST-V2,5m,2026-05-16 01:55:00+00:00,2026-05-16 04:20:00+00:00,long,0.2618,0.2603,sl,-0.0015,-1.0
ADA,ST-V2,5m,2026-05-16 12:15:00+00:00,2026-05-16 12:50:00+00:00,short,0.2538,0.2549,sl,-0.0011,-1.0
ADA,ST-V2,5m,2026-05-16 13:10:00+00:00,2026-05-16 14:45:00+00:00,short,0.2541,0.2552,sl,-0.0011,-1.0
ADA,ST-V2,5m,2026-05-16 19:40:00+00:00,2026-05-17 07:30:00+00:00,short,0.2551,0.2564,sl,0.0001,0.1
ADA,ST-V2,5m,2026-05-17 14:00:00+00:00,2026-05-17 23:40:00+00:00,short,0.2551,0.2572,tp2,0.0034,1.6
DOGE,ST-V2,5m,2026-05-15 19:30:00+00:00,2026-05-16 01:40:00+00:00,long,0.1133,0.1123,sl,-0.001,-1.0
DOGE,ST-V2,5m,2026-05-16 02:20:00+00:00,2026-05-16 06:45:00+00:00,short,0.1124,0.1135,tp2,0.0016,1.6
DOGE,ST-V2,5m,2026-05-16 17:45:00+00:00,2026-05-16 23:10:00+00:00,long,0.1097,0.1092,sl,-0.0005,-1.0
DOGE,ST-V2,5m,2026-05-17 00:45:00+00:00,2026-05-17 01:30:00+00:00,short,0.1093,0.1098,tp2,0.0008,1.6
DOGE,ST-V2,5m,2026-05-17 05:45:00+00:00,2026-05-17 12:30:00+00:00,long,0.1102,0.1091,tp2,0.0018,1.6
DOGE,ST-V2,5m,2026-05-17 21:15:00+00:00,2026-05-17 22:10:00+00:00,long,0.1105,0.1101,sl,0.0,0.1
DOGE,ST-V2,5m,2026-05-17 23:35:00+00:00,2026-05-17 23:40:00+00:00,short,0.1091,0.1106,tp2,0.003,2.0
DOGE,ST-V2,5m,2026-05-18 10:55:00+00:00,2026-05-18 11:35:00+00:00,short,0.104,0.1045,sl,-0.0005,-1.0
DOT,ST-V2,5m,2026-05-13 00:15:00+00:00,2026-05-13 01:10:00+00:00,long,1.338,1.3314,tp2,0.0105,1.6
DOT,ST-V2,5m,2026-05-13 13:25:00+00:00,2026-05-14 17:00:00+00:00,short,1.36,1.3934,sl,0.0033,0.1
DOT,ST-V2,5m,2026-05-15 08:15:00+00:00,2026-05-15 14:00:00+00:00,short,1.33,1.3505,tp2,0.0327,1.6
LINK,ST-V2,5m,2026-05-15 12:10:00+00:00,2026-05-15 13:35:00+00:00,short,10.273,10.3452,tp2,0.1155,1.6
LINK,ST-V2,5m,2026-05-16 04:00:00+00:00,2026-05-16 04:30:00+00:00,short,10.055,10.0992,tp2,0.0884,2.0
LINK,ST-V2,5m,2026-05-16 16:45:00+00:00,2026-05-17 01:00:00+00:00,long,9.741,9.6477,sl,-0.0933,-1.0
LINK,ST-V2,5m,2026-05-17 05:00:00+00:00,2026-05-17 23:15:00+00:00,long,9.776,9.6433,sl,-0.1327,-1.0
LINK,ST-V2,5m,2026-05-18 05:15:00+00:00,2026-05-18 11:00:00+00:00,short,9.525,9.5874,tp2,0.0999,1.6
LINK,ST-V2,5m,2026-05-18 21:25:00+00:00,2026-05-19 07:35:00+00:00,long,9.528,9.3933,tp2,0.2156,1.6
LTC,ST-V2,5m,2026-05-15 17:55:00+00:00,2026-05-16 04:30:00+00:00,long,57.38,56.8415,sl,-0.5385,-1.0
LTC,ST-V2,5m,2026-05-16 05:55:00+00:00,2026-05-16 06:45:00+00:00,short,56.8,57.0733,tp2,0.4373,1.6
LTC,ST-V2,5m,2026-05-16 14:30:00+00:00,2026-05-17 01:30:00+00:00,long,56.09,55.7982,sl,-0.2918,-1.0
LTC,ST-V2,5m,2026-05-17 05:35:00+00:00,2026-05-17 13:15:00+00:00,long,56.31,55.9478,sl,-0.3622,-1.0
LTC,ST-V2,5m,2026-05-17 15:20:00+00:00,2026-05-17 23:40:00+00:00,short,55.82,56.2924,tp2,0.7558,1.6
LTC,ST-V2,5m,2026-05-18 05:15:00+00:00,2026-05-18 06:20:00+00:00,short,54.11,54.4017,tp2,0.4667,1.6
LTC,ST-V2,5m,2026-05-18 16:00:00+00:00,2026-05-18 19:00:00+00:00,short,53.4,53.8202,sl,-0.4202,-1.0
AVAX,ST-V2,5m,2026-05-16 00:00:00+00:00,2026-05-16 06:10:00+00:00,short,9.524,9.5726,tp2,0.0777,1.6
AVAX,ST-V2,5m,2026-05-16 22:00:00+00:00,2026-05-17 01:00:00+00:00,short,9.303,9.3473,tp2,0.0709,1.6
AVAX,ST-V2,5m,2026-05-17 05:00:00+00:00,2026-05-17 22:50:00+00:00,long,9.314,9.2196,sl,-0.0944,-1.0
AVAX,ST-V2,5m,2026-05-18 00:00:00+00:00,2026-05-19 00:15:00+00:00,short,9.153,9.2799,sl,-0.1269,-1.0
AVAX,ST-V2,5m,2026-05-19 02:20:00+00:00,2026-05-19 02:35:00+00:00,long,9.269,9.2155,sl,-0.0535,-1.0
NEAR,ST-V2,5m,2026-05-15 14:25:00+00:00,2026-05-15 16:25:00+00:00,short,1.524,1.5412,sl,-0.0172,-1.0
NEAR,ST-V2,5m,2026-05-16 00:45:00+00:00,2026-05-16 03:15:00+00:00,short,1.54,1.5486,sl,-0.0086,-1.0
NEAR,ST-V2,5m,2026-05-16 05:35:00+00:00,2026-05-16 07:10:00+00:00,short,1.526,1.546,tp2,0.0319,1.6
NEAR,ST-V2,5m,2026-05-16 10:50:00+00:00,2026-05-17 03:50:00+00:00,short,1.492,1.5074,sl,-0.0154,-1.0
NEAR,ST-V2,5m,2026-05-17 05:45:00+00:00,2026-05-17 23:35:00+00:00,long,1.523,1.5015,sl,0.0021,0.1
NEAR,ST-V2,5m,2026-05-18 05:15:00+00:00,2026-05-18 06:20:00+00:00,short,1.505,1.515,tp2,0.016,1.6
NEAR,ST-V2,5m,2026-05-18 09:50:00+00:00,2026-05-18 10:15:00+00:00,short,1.486,1.4928,sl,0.0007,0.1
NEAR,ST-V2,5m,2026-05-18 11:10:00+00:00,2026-05-18 19:30:00+00:00,long,1.509,1.4828,tp2,0.0419,1.6
NEAR,ST-V2,5m,2026-05-19 05:05:00+00:00,2026-05-19 06:40:00+00:00,short,1.608,1.6232,sl,-0.0152,-1.0
BCH,ST-V2,5m,2026-05-12 22:35:00+00:00,2026-05-13 06:05:00+00:00,long,440.0,438.1594,tp2,2.945,1.6
BCH,ST-V2,5m,2026-05-13 12:20:00+00:00,2026-05-13 13:45:00+00:00,short,437.8,440.8669,tp2,6.1338,2.0
BCH,ST-V2,5m,2026-05-13 21:15:00+00:00,2026-05-14 00:15:00+00:00,short,433.19,435.2955,sl,-2.1055,-1.0
BCH,ST-V2,5m,2026-05-14 00:40:00+00:00,2026-05-14 03:05:00+00:00,long,434.95,432.6776,sl,-2.2724,-1.0
BCH,ST-V2,5m,2026-05-14 06:50:00+00:00,2026-05-14 11:25:00+00:00,long,434.13,432.0227,sl,-2.1073,-1.0
BCH,ST-V2,5m,2026-05-14 13:40:00+00:00,2026-05-15 08:25:00+00:00,long,433.91,431.4237,sl,0.2486,0.1
BCH,ST-V2,5m,2026-05-15 11:05:00+00:00,2026-05-15 13:30:00+00:00,short,431.19,432.6489,tp2,2.3343,1.6
BCH,ST-V2,5m,2026-05-16 03:55:00+00:00,2026-05-16 05:20:00+00:00,long,427.39,424.537,sl,-2.853,-1.0
BCH,ST-V2,5m,2026-05-16 09:15:00+00:00,2026-05-16 10:40:00+00:00,short,418.84,423.0971,tp2,6.8114,1.6
BCH,ST-V2,5m,2026-05-16 14:25:00+00:00,2026-05-16 15:30:00+00:00,short,414.26,416.3002,sl,-2.0402,-1.0
