pair,entry_date,exit_date,side,entry_price,sl,tp1,tp2,exit_reason,pnl,r_multiple,sweep_val,sweep_vah,poc,ema21,ema55,body_ratio,volume_ratio
BTC,2026-05-16 17:00:00+00:00,2026-05-17 00:55:00+00:00,long,78219.9,77860.7204,78650.9156,78938.2593,sl,-359.1796,-1.0,78105.71,78206.56,78161.1775,78124.839,78164.2427,0.48,7.77
BTC,2026-05-17 05:35:00+00:00,2026-05-17 22:50:00+00:00,long,78167.0,77789.04,78620.552,78922.92,sl,-377.96,-1.0,78039.3,78453.0,78356.47,78110.9298,78165.1567,0.68,2.34
ETH,2026-05-16 12:55:00+00:00,2026-05-16 14:45:00+00:00,short,2175.41,2183.9803,2165.1256,2158.2693,sl,-8.5703,-1.0,2172.727,2177.578,2176.2305,2176.6826,2177.1925,0.16,4.67
ETH,2026-05-16 15:30:00+00:00,2026-05-17 01:40:00+00:00,long,2180.0,2168.1226,2194.2529,2203.7548,sl,-11.8774,-1.0,2176.264,2183.572,2180.2225,2178.2031,2179.5127,0.65,5.01
ETH,2026-05-17 11:30:00+00:00,2026-05-17 14:15:00+00:00,long,2192.97,2183.6163,2204.1945,2211.6774,sl,-9.3537,-1.0,2187.9325,2194.6225,2191.5562,2190.0615,2190.2182,0.29,7.07
ETH,2026-05-17 14:55:00+00:00,2026-05-17 23:40:00+00:00,short,2185.57,2200.7662,2167.3346,2155.1776,tp2,24.3139,1.6,2169.622,2183.962,2180.377,2171.921,2179.8418,0.57,14.45
ETH,2026-05-18 05:40:00+00:00,2026-05-18 11:35:00+00:00,short,2118.55,2128.3376,2106.8049,2098.9749,sl,-9.7876,-1.0,2111.8925,2116.379,2113.6373,2115.8803,2116.7003,0.79,4.55
SOL,2026-05-16 14:00:00+00:00,2026-05-16 14:45:00+00:00,short,86.07,86.4706,85.5892,85.2687,sl,-0.4006,-1.0,86.055,86.262,86.2275,86.1887,86.2513,0.03,3.94
SOL,2026-05-16 20:05:00+00:00,2026-05-16 21:40:00+00:00,long,86.76,86.4563,87.1244,87.3674,sl,-0.3037,-1.0,86.626,86.78,86.647,86.6423,86.6477,0.25,1.9
SOL,2026-05-16 22:35:00+00:00,2026-05-17 01:25:00+00:00,short,86.57,86.9729,86.0865,85.7642,tp2,0.6446,1.6,86.106,86.68,86.4955,86.2571,86.4229,0.48,2.45
SOL,2026-05-17 05:05:00+00:00,2026-05-17 23:05:00+00:00,long,87.12,85.8818,88.6059,89.5965,sl,-1.2382,-1.0,85.94,86.675,86.2095,86.3167,86.4294,0.2,1.65
XRP,2026-05-16 14:50:00+00:00,2026-05-16 16:00:00+00:00,short,1.4061,1.4158,1.3945,1.3867,sl,-0.0097,-1.0,1.4072,1.4131,1.4092,1.4119,1.4105,0.66,3.64
XRP,2026-05-16 18:50:00+00:00,2026-05-17 00:55:00+00:00,long,1.4151,1.4108,1.4202,1.4236,sl,-0.0043,-1.0,1.4127,1.4148,1.4133,1.4136,1.414,0.5,4.92
XRP,2026-05-17 05:45:00+00:00,2026-05-17 15:15:00+00:00,long,1.4169,1.4093,1.426,1.432,sl,0.0008,0.1,1.4104,1.4186,1.4125,1.4144,1.4171,0.08,1.81
