pair,entry_date,exit_date,side,entry_price,sl,tp1,tp2,tp3,exit_price,exit_reason,pnl,r_multiple,exit_bar_close,sweep_val,sweep_vah,poc,ema20,ema50,ema200,volume_ratio
BTC,2018-06-14 07:13:02.528551,2018-06-15 16:13:02.528551,long,7655.0,7454.5311,7855.4689,8055.9379,8256.4068,7454.5311,sl,-200.4689,-1.0,7483.0,7610.2667,7736.2833,7704.7792,7605.7153,7625.5934,7577.7065,1.62
BTC,2018-07-04 16:13:02.528551,2018-07-13 04:13:02.528551,short,6095.96,6541.6952,5650.2248,5204.4896,4758.7544,6541.6952,sl,-445.7352,-1.0,6597.21,6313.9271,6394.8333,6336.401,6362.4832,6325.7469,6258.1519,4.82
BTC,2018-07-20 05:13:02.528551,2018-07-20 06:13:02.528551,long,6726.02,6675.9147,6776.1253,6826.2305,6876.3358,6675.9147,sl,-50.1053,-1.0,6696.44,6689.2933,6766.6133,6721.51,6710.6316,6695.627,6574.5052,2.43
BTC,2018-08-12 19:13:02.528551,2018-08-17 05:13:02.528551,short,7560.05,7796.061,7324.039,7088.028,6852.017,6852.017,tp3,436.6203,1.85,6864.95,6923.3392,7060.3533,6966.9346,6962.7809,7035.9199,7391.1699,1.51
BTC,2018-08-19 15:13:02.528551,2018-09-01 09:13:02.528551,short,6311.99,6821.5893,5802.3907,5292.7914,4783.1922,6821.5893,sl,-509.5993,-1.0,6808.96,6375.0,6504.1667,6446.0417,6469.8409,6436.1965,6425.1647,4.78
BTC,2018-09-06 03:13:02.528551,2018-09-07 19:13:02.528551,long,6708.4,6612.2091,6804.5909,6900.7818,6996.9728,6996.9728,tp3,177.9532,1.85,7030.0,6623.64,6868.395,6725.6212,6873.1812,6788.7006,6628.4486,2.22
BTC,2018-09-21 19:13:02.528551,2018-09-23 08:13:02.528551,short,6283.75,6399.7218,6167.7782,6051.8064,5935.8346,6399.7218,sl,-115.9718,-1.0,6413.94,6238.0233,6325.8933,6272.195,6307.065,6297.0622,6464.061,1.96
BTC,2018-10-04 06:13:02.528551,2018-10-04 14:13:02.528551,long,6718.22,6666.6475,6769.7925,6821.365,6872.9375,6666.6475,sl,-51.5725,-1.0,6642.79,6681.8333,6752.3333,6717.0833,6700.9465,6692.6083,6569.8114,1.88
BTC,2018-10-06 08:13:02.528551,2018-10-08 03:13:02.528551,short,6409.99,6642.0125,6177.9675,5945.945,5713.9225,6642.0125,sl,-232.0225,-1.0,6669.36,6412.3838,6538.5758,6514.3081,6514.2443,6500.7818,6524.4669,2.42
BTC,2018-10-28 07:13:02.528551,2018-10-28 23:13:02.528551,long,6740.89,6688.6792,6793.1008,6845.3117,6897.5225,6688.6792,sl,-10.4422,-0.2,6704.9,6711.16,6764.08,6731.74,6726.4939,6725.81,6618.5957,1.54
BTC,2018-11-02 08:13:02.528551,2018-11-08 16:13:02.528551,short,6577.88,6634.2654,6521.4946,6465.1092,6408.7239,6408.7239,tp3,104.313,1.85,6429.9,6479.2475,6509.8696,6498.9331,6487.1738,6499.1691,6542.0912,7.36
